Crop,Variant,R2_Threshold,MAD_Threshold,Fraction,Countries_Passed,Total_Countries
Corn,All Years,0.8,10,0.7814569536423841,118,151
Corn,All Years,0.9,5,0.5629139072847682,85,151
Rice,All Years,0.8,10,0.7758620689655172,90,116
Rice,All Years,0.9,5,0.5344827586206896,62,116
Soy,All Years,0.8,10,0.5212765957446809,49,94
Soy,All Years,0.9,5,0.3404255319148936,32,94
Soy,Years 6-10,0.8,10,0.6170212765957447,58,94
Soy,Years 6-10,0.9,5,0.39361702127659576,37,94
Spring_Wheat,All Years,0.8,10,0.42016806722689076,50,119
Spring_Wheat,All Years,0.9,5,0.2605042016806723,31,119
Spring_Wheat,Years 5-10,0.8,10,0.5966386554621849,71,119
Spring_Wheat,Years 5-10,0.9,5,0.3025210084033613,36,119
Grasses,All Years,0.8,10,0.6730769230769231,105,156
Grasses,All Years,0.9,5,0.4935897435897436,77,156
Combined,All Years,0.8,10,0.5477707006369427,86,157
Combined,All Years,0.9,5,0.2929936305732484,46,157
